video-name,f-init,n-frames,video-frames,sentences
v_---9CpRcKoU,0,48,420,A man was sitting inside a room.
v_---9CpRcKoU,52,204,420, He is holding a bowl of noodles and broth.
v_---9CpRcKoU,265,155,420, He is drinking the broth from a bowl.
v_--0edUL8zmA,172,1555,2303,Four men are playing dodge ball in an indoor court.
v_--0edUL8zmA,276,1452,2303, They start running towards the red balls after the coach blows the whistle.
v_--0edUL8zmA,403,1325,2303, One of the players hits the ball on his opponent.
v_--0edUL8zmA,530,1198,2303," The opponent strikes back at the other player, but he manages to dodge the ball."
v_--0edUL8zmA,679,1048,2303," Next, the player hits another ball directly at his opponent standing opposite him."
v_--0edUL8zmA,829,979,2303, The player hits the ball hard on his opponent's leg.
v_--0edUL8zmA,1037,772,2303, They continue playing several rounds of dodge ball.
v_--0edUL8zmA,1452,357,2303, The player aims directly at one of his opponents and hits him on his leg.
v_--0edUL8zmA,1797,11,2303, The game ends after the coach blows the whistle.
v_--mFXNrRZ5E,0,337,2931,Two men are dressed in fencing gear.
v_--mFXNrRZ5E,425,1026,2931, They are battling on a court with their swords.
v_--mFXNrRZ5E,1481,1158,2931, Green lines occasionally indicate the moves they are making.
v_--mFXNrRZ5E,2728,205,2931, They stab at each other with the swords and jump about the stage.
v_--veKG73Di4,0,743,3457,A man and a women introduce themselves to the camera and start to talk to each other while the man is sitting behind a four set bongo set and the women is on the other side holding a water bottle.
v_--veKG73Di4,743,51,3457, As the conversation ensues another woman approaches the woman and takes away her water bottle.
v_--veKG73Di4,795,2145,3457, Afterwards the man starts to play the bongos and woman starts to dance.
v_--veKG73Di4,1055,294,3457, As the woman dances on a man on a bike passes by and starts to observe what's going on.
v_--veKG73Di4,3079,380,3457, In the end while the woman stops dancing and starts to clap and the man playing the bongos stops playing and does a final clap.
v_-06dWmCzbxY,0,982,982,A person rides down a rapid on an inter tube in a group of friends on a rocky river.
v_-06dWmCzbxY,457,299,982, The people in the intertubes are helped along by a river guides in polo shirt.
v_-0i3BpAQAgE,0,11020,64794,A man and a woman are playing rock paper scissors.
v_-0i3BpAQAgE,11350,16850,64794, The man gets on his knee and pulls out a ring.
v_-0i3BpAQAgE,27880,11020,64794, They hug next to the swimming pool.
v_-0i3BpAQAgE,54780,969,64794, They give each other a kiss.
v_-0NfmccuL9Q,0,1001,6459,A man has a few tools and is pumping his car up some so he can take off the tire.
v_-0NfmccuL9Q,1001,1422,6459, He uses the tool to take off all of the nuts one by one.
v_-0NfmccuL9Q,2423,1939,6459, Then he grabs the tire off and moves it over and he puts on another tire.
v_-0NfmccuL9Q,4363,2100,6459," He does everything he did before but the opposite, putting the nuts back on in place to tighten the tire on, he then brings the car back down."
v_-1CEVKeAyA8,91,2638,6063,An older woman is seen sitting in a chair knitting while holding two needles and leads into her showing off her knitting basket and speaking to the camera.
v_-1CEVKeAyA8,1880,3821,6063, The woman continues speaking while holding the knitting tools and ends by fading to black.
v_-1IBHYS3L-Y,0,4772,6318,A man removes snow on a car using a snowbrush.
v_-1IBHYS3L-Y,4772,1264,6318," Then, the man writes over the snow covering the window of a car, and a woman wearing winter clothes smiles."
v_-1IBHYS3L-Y,6036,284,6318," Then, the man continues removing the snow on his car."
v_-1IlTIWPNs4,0,632,2580,A cameraman walks down a snowy driveway to capture a young child shoveling up snow.
v_-1IlTIWPNs4,658,1923,2580, The boy speaks into the camera and continues pushing the snow around with a shovel.
v_-2DajzzRwn0,86,2867,5733,Several teams of people are seen playing a game of tug of war with one another with people watching on the sides.
v_-2DajzzRwn0,3183,2466,5733, The people continue competing with one another and ends with one team winning.
v_-2dxp-mv2zo,94,814,3786,A female chef in white uniform shows a stack of baking pans in a large kitchen presenting them.
v_-2dxp-mv2zo,928,189,3786, The pans are filled with pastries and loaded into the oven.
v_-2dxp-mv2zo,1117,416,3786, A knife is used to cut cylinder shaped dough into rounds.
v_-2dxp-mv2zo,1534,341,3786, A tray of potatoes is loaded into the oven and removed.
v_-2dxp-mv2zo,1913,170,3786, A large tray of cake is flipped over and placed on counter.
v_-2dxp-mv2zo,2122,606,3786, A large tray of meat is prepared then it is removed from the oven by a helper when done.
v_-2dxp-mv2zo,2747,890,3786, The woman chef stands behind the stack of tins and picks one up.
v_-2VNLsk1s34,0,1816,6371,A large man is seen stepping up into a circle and throws several shot puts off into the distance.
v_-2VNLsk1s34,1529,2454,6371, Several more men are seen stepping up to the circle throwing a shot put off into the distance.
v_-2VNLsk1s34,4238,1848,6371, People in the audience are seen cheering to one another as their scores are shown in the end.
v_-3baQGb2zIY,0,485,3129,A black male majorette begins walking through the drum line with his baton.
v_-3baQGb2zIY,485,1096,3129,"As he makes his way to the front of the band,he bgeins to twirl the baton and move across the field and takes his pants off."
v_-3baQGb2zIY,1582,1550,3129,"Underneath his pants is a pair of sparkly shorts and he continues to dance, doing turns,tricks,kicks,splits,and popping as the band plays."
v_-3Ss9jSRbKk,0,2017,2026,"A woman demonstrates how to do sit ups, in a gym room, using a woman who is simulating the exercise as an example."
v_-3Ss9jSRbKk,0,182,2026,  A woman kneels on the hardwood floors of a gym room and talks to the camera.
v_-3Ss9jSRbKk,182,486,2026,  The camera pans out and another woman is revealed lying on her back on a gym mat as the woman kneeling above her continues to talk.
v_-3Ss9jSRbKk,811,1186,2026,  The woman lying down demonstrates how to do a  sit up and the other woman continues to talk at times touching the other woman's stomach.
v_-4Q_zG9EChY,0,1095,4976,A man is seen standing on a rope and begins walking across the rope.
v_-4Q_zG9EChY,672,2937,4976, The man continues walking while the camera captures his movements.
v_-4Q_zG9EChY,3310,1592,4976, He walks all along the rope to the end and jumps off.
v_-4VuHlphgL4,0,321,3774,"A man is standing behind a couch, wearing a protective head covering."
v_-4VuHlphgL4,340,2738,3774," He is covering a couch with plastic, and tapes it in place."
v_-4VuHlphgL4,3116,661,3774, He speaks to the camera about what he did a little longer.
v_-4WdzYpCJPU,366,1403,6099,A man is standing at a table holding a bow in his hand talking.
v_-4WdzYpCJPU,1830,2593,6099, He then goes outside and shoots an arrow at a target.
v_-4WdzYpCJPU,4820,1281,6099, A close up of the bow is shown.
v_-5h2E52tl4Q,0,2863,2861,A middle aged female talks about a cleaning product.
v_-5h2E52tl4Q,300,286,2861, The female opens a container of cleaner and puts it on a rag.
v_-5h2E52tl4Q,601,658,2861, The female then uses the rag to rub the inside of the sink.
