video-name,f-init,n-frames,video-frames,sentences
v_---9CpRcKoU,0,421,420,A man was sitting inside a room.
v_--0edUL8zmA,172,1636,2303,Four men are playing dodge ball in an indoor court.
v_--mFXNrRZ5E,0,2934,2931,Two men are dressed in fencing gear.
v_--veKG73Di4,0,3460,3457,A man and a women introduce themselves to the camera and start to talk to each other while the man is sitting behind a four set bongo set and the women is on the other side holding a water bottle.
v_-06dWmCzbxY,0,756,982,A person rides down a rapid on an inter tube in a group of friends on a rocky river.
v_-0i3BpAQAgE,0,55750,64794,A man and a woman are playing rock paper scissors.
v_-0NfmccuL9Q,0,6464,6459,A man has a few tools and is pumping his car up some so he can take off the tire.
v_-1CEVKeAyA8,91,5610,6063,An older woman is seen sitting in a chair knitting while holding two needles and leads into her showing off her knitting basket and speaking to the camera.
v_-1IBHYS3L-Y,0,6320,6318,A man removes snow on a car using a snowbrush.
v_-1IlTIWPNs4,0,2581,2580,A cameraman walks down a snowy driveway to capture a young child shoveling up snow.
v_-2DajzzRwn0,86,5563,5733,Several teams of people are seen playing a game of tug of war with one another with people watching on the sides.
v_-2dxp-mv2zo,94,3543,3786,A female chef in white uniform shows a stack of baking pans in a large kitchen presenting them.
v_-2VNLsk1s34,0,6087,6371,A large man is seen stepping up into a circle and throws several shot puts off into the distance.
v_-3baQGb2zIY,0,3133,3129,A black male majorette begins walking through the drum line with his baton.
v_-3Ss9jSRbKk,0,1997,2026,"A woman demonstrates how to do sit ups, in a gym room, using a woman who is simulating the exercise as an example."
v_-4Q_zG9EChY,0,4903,4976,A man is seen standing on a rope and begins walking across the rope.
v_-4VuHlphgL4,0,3777,3774,"A man is standing behind a couch, wearing a protective head covering."
v_-4WdzYpCJPU,366,5735,6099,A man is standing at a table holding a bow in his hand talking.
v_-5h2E52tl4Q,0,2791,2861,A middle aged female talks about a cleaning product.
v_-5K3KZ6fHuI,0,1186,1184,A group of friends are seated on sleds at the top of the hill.
v_-5KAycAQlC4,0,4179,4177,A man is being pulled on a water ski as he floats in the water casually.
v_-5xWaBSwnjY,0,2137,2147,woman is in a large green field holding a yellow frisbee and playing with a dog.
v_-5Yp-vToI2E,0,2680,2791,A large group of people are seen standing around a ballet room and leads into four performing a dance.
v_-6prmNqkAN8,0,1178,1177,A large snowy mountain is seen as people gather on the ice.
v_hN9diyaOK4E,0,94230,94303,A man competes solving a puzzle cube.
v_HNBiW2Nq318,1600,37629,40020,A person is seen bending forward on a gymnastics beam while moving his hands up to keep balance.
v_HnEvJUr8DEM,0,246,245,A man is standing on a field.
v_hniQpwn3Ob4,23,4657,4726,An intro leads into several clips of different athletes performing shotput throws in a circle.
v_HNIs8lFvKkA,264,6360,6623,There are two people dressed in yellow shirts playing table tennis in a finished basement.
v_HnM44lX65cQ,3,756,757,A seated man is using a sharpener to sharpen a large knife.
v_hnwZmUR1FUw,0,2516,2508,There are two men indoors and playing racquetball in an indoor court as they quickly hit the ball against the wall and take turns.
v_Ho0eNR4jvEg,0,119230,141061,We see the underwater sea floor.
v_hOcP06xuKFg,0,39100,39053,A person grabs a disk from a pile of disks.
v_hOdSTik8_nw,0,3880,4148,The coach is coaching his team.
v_hog7gGdk4i4,0,238,390,the kids are on the swing while one kid stand and push a little dog on the swing.
v_hoisfXCLJDQ,4,371,436,A camera zooms in on a person riding in a tube.
